customer_id,row_index,full_name,age,gender,city,education,employment_status,annual_income_try,credit_score,tenure_months,monthly_spend_try,support_calls_90d,contract_type,payment_method,signup_date,last_login_days_ago,marketing_consent,device_type,churn
CUS-100141,142,Derya Çelik,60,KADIN,istanbul,Bilinmiyor,Emekli,,566,61,396,1,2 Yıllık,Otomatik Ödeme,,3,,web ,0
CUS-101763,1764,Merve Arslan,29,KADIN,antalya,Y. Lisans,Yarı Zamanlı,73653,662,106,1132,1,2 Yıllık,Banka Havalesi,2022-03-07,16,hayir,IOS,0
CUS-101608,1609,Merve Şahin,42,,İzmir,Doktora,Self-employed,,592,11,687,2,12 ay,EFT,2021-02-20,7,0,Unknown,0
CUS-100521,522,Elif Koç,36,Kadın,Bursa,Doktora,Emekli,54037,644,61,1988,0,aylik,EFT,2020-05-07,11,EVET,IOS,1
CUS-102021,2022,Emre Çelik,46,KADIN,Unknown,Yüksek Lisans,Tam Zamanlı,48442,657,7,1626,3,aylik,Banka Havalesi,2019-09-11,6,Hayır,IOS,0
CUS-100689,690,Zeynep Şahin,26,KADIN,Ankara,lise,İşsiz,17624,716,13,1487,1,Taahhütsüz,Banka Havalesi,2022-08-17,9,0,Android,0
CUS-101515,1516,Zeynep Kurt,29,erkek,,lisans ,Emekli,52584,587,96,2096,0,2 Yıllık,PayPal,2020-07-20,9,EVET,web ,0
CUS-101546,1547,Merve Kaya,,KADIN,Adana,Y. Lisans,Tam Zamanlı,,714,94,158,1,24 AY,Otomatik Ödeme,2023-08-05,8,EVET,web ,0
CUS-101779,1780,Merve Kurt,29,Kadın,antalya,Doktora,,31540,491,99,319,1,12 ay,Otomatik Ödeme,2018-03-21,5,1,Android,0
CUS-100247,248,Emre Arslan,38,KADIN,Unknown,lisans ,Tam Zamanlı,,812,49,1924,2,aylik,kredi karti,2018-01-28,2,Evet,IOS,0
CUS-101922,1923,Derya Öz,25,erkek,Ankara,Lisans,Tam Zamanlı,88240,730,5,1632,0,Aylık,,2018-05-08,1,Evet,Unknown,0
CUS-101623,1624,Burak Demir,,Diğer,,,Self-employed,,701,,1223,1,2 Yıllık,kredi karti,2018-09-27,10,0,android,0
CUS-100905,906,Emre Çelik,145,Female,Antalya,Ön Lisans,İşsiz,17530,709,39,1959,2,1 Yıllık,PayPal,2018-06-26,4,Yes,iOS,0
CUS-101741,1742,Elif Şahin,43,Erkek,Unknown,Ön Lisans,İşsiz,86414,688,39,1498,2,12 ay,Banka Havalesi,2020-11-12,2,Hayır,android,0
CUS-100427,428,Ali Demir,35,KADIN,Antalya,Bilinmiyor,İşsiz,91295,767,40,1846,0,2 Yıllık,Otomatik Ödeme,2018-03-17,2,EVET,IOS,0
CUS-101696,1697,Can Aydın,43,kadın,Unknown,,İşsiz,25104,510,57,899,2,2 Yıllık,Otomatik Ödeme,2019-11-02,9,EVET,android,0
CUS-101372,1373,Can Yılmaz,40,erkek,Unknown,,tam zamanli,46893,708,33,2430,0,1 Yıllık,PayPal,2017-06-15,3,,iOS,0
CUS-102151,2152,Mehmet Kurt,45,kadın,Konya,Yüksek Lisans,İşsiz,,549,4,1604,2,Taahhütsüz,kredi karti,,5,0,iOS,0
CUS-101341,1342,Elif Arslan,54,erkek,antalya,Y. Lisans,Part-time,59744,759,19,43335,2,Taahhütsüz,EFT,2021-07-26,15,0,web ,1
CUS-100796,797,Emre Çelik,36,Kadın,,Yüksek Lisans,İşsiz,23479,562,117,,3,aylik,,2017-07-08,8,Yes,IOS,0
CUS-100465,466,Zeynep Kaya,31,Diğer,Konya,Lisans,İşsiz,50456,674,16,50,0,24 AY,EFT,2025-03-19,2,1,Web,0
CUS-100167,168,Merve Kaya,51,Diğer,Ankara,lisans ,,49966,582,74,1191,2,1 Yıllık,Kredi Kartı,2022-01-13,,hayir,iOS,0
CUS-100791,792,Ayşe Kaya,22,KADIN,Ankara,Doktora,,46098,635,66,,0,12 ay,kredi karti,2024-05-17,15,,web ,0
CUS-100024,25,Burak Öz,,kadın,Gaziantep,lisans ,Tam Zamanlı,54042,557,0,2675,1,aylik,Otomatik Ödeme,2017-08-16,5,hayir,IOS,0
CUS-102057,2058,Burak Arslan,49,Female,BURSA,Ön Lisans,Self-employed,32307,587,16,1135,1,aylik,,2017-01-22,3,Hayır,Android,0
CUS-100131,132,Ali Şahin,66,Kadın,ISTANBUL,Lisans,Öğrenci,,641,35,400,3,aylik,Nakit,not_a_date,5,Evet,iOS,0
CUS-101227,1228,Can Şahin,30,Female,,Lise,,107162,680,32,1398,3,1 Yıllık,,2022-02-04,10,1,android,0
CUS-101205,1206,Mehmet Yılmaz,,Female,Konya,Ön Lisans,Tam Zamanlı,60985,528,36,1606,3,aylik,,2025-01-06,8,Hayır,iOS,0
CUS-100494,495,Emre Aydın,48,Belirtmek istemiyor,İstanbul,Lise,Serbest,30036,673,5,2888,1,1 Yıllık,Banka Havalesi,2017-10-23,,Hayır,web ,0
CUS-100382,383,Ali Kurt,43,Male,ankara ,Ön Lisans,Emekli,33269,783,33,1530,2,aylik,Otomatik Ödeme,2020-09-24,6,0,web ,0
CUS-100314,315,Can Öz,24,Belirtmek istemiyor,BURSA,Lise,Part-time,93421,535,98,730,0,Taahhütsüz,EFT,2020-04-13,2,0,Tablet,0
CUS-100194,195,Derya Kaya,41,Male,İstanbul,Y. Lisans,,71533,606,105,,1,24 AY,kredi karti,23/08/2019,9,Hayır,Unknown,0
CUS-101847,1848,Ayşe Aydın,41,Erkek,istanbul,Bilinmiyor,Serbest,,651,103,1100,0,Aylık,Banka Havalesi,2020-06-24,18,Yes,Android,0
CUS-101155,1156,Derya Yılmaz,14,Diğer,Adana,Doktora,Yarı Zamanlı,62795,584,112,838,3,aylik,PayPal,2017-09-08,1,Evet,iOS,1
CUS-101699,1700,Ayşe Demir,,Male,Gaziantep,Bilinmiyor,İşsiz,55412,507,35,977,0,2 Yıllık,PayPal,2020-02-07,9,Hayır,Android,0
CUS-101009,1010,Ali Öz,45,Female,Adana,lise,Self-employed,37201,381,23,646,3,1 Yıllık,,,,EVET,android,0
CUS-100205,206,Ayşe Aydın,21,Female,istanbul,Lise,İşsiz,20914,658,55,1080,3,1 Yıllık,PayPal,2024-02-14,9,0,iOS,0
CUS-101139,1140,Zeynep Koç,29,kadın,,,Emekli,64154,564,40,545,0,aylik,Kredi Kartı,2018-02-06,1,Hayır,Tablet,0
CUS-101887,1888,Burak Kaya,56,Diğer,antalya,Bilinmiyor,Öğrenci,45093,553,94,2344,1,2 Yıllık,Kredi Kartı,2023-07-07,33,,Unknown,0
CUS-100383,384,Burak Çelik,40,Belirtmek istemiyor,Antalya,Y. Lisans,,31545,841,11,1177,5,Taahhütsüz,Otomatik Ödeme,2024-06-15,5,EVET,Unknown,0
CUS-100646,647,Zeynep Öz,24,kadın,Izmir,Bilinmiyor,Emekli,32721,771,65,88,,Aylık,Nakit,2021-02-06,3,Yes,iOS,1
CUS-100825,826,Can Demir,47,kadın,Gaziantep,Lisans,Yarı Zamanlı,,650,29,218,2,24 AY,Kredi Kartı,2022-07-04,3,EVET,iOS,0
CUS-100268,269,Burak Yılmaz,41,Male,Gaziantep,Lise,Self-employed,18091,796,18,1313,0,12 ay,otomatik odeme,2021-09-03,3,Yes,Unknown,0
CUS-101257,1258,Ali Koç,18,Male,antalya,lisans ,Emekli,6892,585,73,1675,1,12 ay,EFT,2024-05-24,4,hayir,IOS,0
CUS-100088,89,Elif Demir,40,Female,antalya,Y. Lisans,Self-employed,,743,91,1102,0,,Nakit,2020-02-10,2,EVET,iOS,0
CUS-100578,579,Ali Çelik,33,KADIN,,Lisans,Emekli,59444,598,58,2151,4,Aylık,Otomatik Ödeme,2020-07-01,2,0,Web,0
CUS-102080,2081,Mehmet Arslan,61,Belirtmek istemiyor,İzmir,Lise,Tam Zamanlı,32534,784,86,2551,2,Taahhütsüz,Nakit,2021-12-28,2,1,Web,0
CUS-100543,544,Zeynep Öz,-7,Kadın,istanbul,Y. Lisans,Tam Zamanlı,36358,600,35,824,2,1 Yıllık,otomatik odeme,2017-02-25,4,,Tablet,0
CUS-100184,185,Can Yılmaz,32,erkek,Adana,Lise,Yarı Zamanlı,48190,743,71,1805,3,12 ay,kredi karti,2020-05-04,3,Evet,iOS,0
CUS-100503,504,Ayşe Şahin,43,Male,Unknown,Bilinmiyor,Emekli,35176,577,69,665,2,Taahhütsüz,PayPal,2024-03-24,1,Yes,Tablet,0
CUS-101552,1553,Mehmet Çelik,38,Belirtmek istemiyor,ISTANBUL,lise,Self-employed,35087,642,94,1722,2,aylik,Otomatik Ödeme,23/08/2024,2,EVET,IOS,0
CUS-100763,764,Ayşe Şahin,54,Kadın,antalya,Lise,Serbest,41997,740,83,2214,0,2 Yıllık,Kredi Kartı,2018-08-08,3,1,android,0
CUS-100474,475,Zeynep Arslan,47,kadın,antalya,lise,Self-employed,14956,766,94,1358,0,aylik,Otomatik Ödeme,,15,1,Tablet,1
CUS-100421,422,Ayşe Şahin,25,Male,Adana,Lisans,Self-employed,44956,729,37,530,1,aylik,otomatik odeme,2021-07-27,7,0,Tablet,0
CUS-101223,1224,Merve Yılmaz,60,Female,Adana,Ön Lisans,Öğrenci,29158,698,79,1668,2,aylik,EFT,2024-06-15,9,Hayır,android,0
CUS-101000,1001,Ali Şahin,23,Male,,Y. Lisans,Yarı Zamanlı,37049,,60,1352,3,24 AY,Nakit,2020-09-02,3,hayir,Web,0
CUS-100215,216,Elif Arslan,25,Belirtmek istemiyor,Unknown,Lisans,İşsiz,43579,,86,1726,3,2 Yıllık,Banka Havalesi,2024-01-25,6,Evet,android,0
CUS-101790,1791,Zeynep Şahin,33,Belirtmek istemiyor,Adana,Bilinmiyor,Emekli,22137,648,11,1613,1,12 ay,PayPal,2021-05-23,4,EVET,iOS,0
CUS-100963,964,Ali Yılmaz,44,Belirtmek istemiyor,Antalya,Lise,Tam Zamanlı,46743,636,25,,1,aylik,Otomatik Ödeme,2021-06-05,9,Evet,Unknown,0
CUS-101226,1227,Elif Arslan,44,Male,Gaziantep,,Serbest,108944,658,12,2932,1,12 ay,Nakit,2022-09-08,9,Evet,web ,0
CUS-101323,1324,Burak Kurt,32,Diğer,BURSA,Ön Lisans,Self-employed,34104,655,106,2157,2,2 Yıllık,Nakit,,6,1,IOS,0
CUS-101479,1480,Can Demir,42,Kadın,Izmir,Lisans,tam zamanli,31899,634,60,1155,1,2 Yıllık,otomatik odeme,2019-08-14,13,1,web ,0
CUS-101286,1287,Ayşe Demir,38,Female,Izmir,Bilinmiyor,Öğrenci,20924,848,93,1879,2,24 AY,,2018-06-07,4,,IOS,0
CUS-101726,1727,Derya Aydın,30,erkek,Antalya,Doktora,Self-employed,36775,653,58,2401,1,1 Yıllık,Kredi Kartı,2020-10-22,3,0,Android,0
CUS-101231,1232,Emre Arslan,19,Female,Adana,Bilinmiyor,,45860,605,86,3025,2,Taahhütsüz,Banka Havalesi,2019-01-14,14,Yes,Unknown,0
CUS-100790,791,Emre Demir,50,Female,Adana,Lise,Tam Zamanlı,57074,484,81,302,3,Aylık,Otomatik Ödeme,2019-09-28,5,EVET,IOS,1
CUS-101128,1129,Elif Öz,50,Female,ankara ,Yüksek Lisans,Serbest,37771,716,46,1112,0,Taahhütsüz,Nakit,2018-09-17,5,Hayır,Tablet,0
CUS-100797,798,Ali Kaya,58,Kadın,İzmir,,,45508,618,76,2062,0,2 Yıllık,Nakit,2018-02-23,3,Evet,Android,0
CUS-102032,2033,Burak Arslan,27,Erkek,Konya,lisans ,Yarı Zamanlı,27513,587,75,1449,3,1 Yıllık,,2025-01-12,7,0,Tablet,0
CUS-101872,1873,Elif Çelik,46,KADIN,Unknown,Y. Lisans,tam zamanli,39094,657,31,1798,2,2 Yıllık,PayPal,2022-08-28,8,1,Tablet,0
CUS-100392,393,Burak Çelik,41,erkek,Adana,lisans ,Emekli,39630,600,87,,3,,Nakit,2018-09-06,5,hayir,IOS,0
CUS-100530,531,Derya Çelik,30,Male,Gaziantep,Doktora,tam zamanli,37108,505,18,896,1,1 Yıllık,kredi karti,2020-05-11,6,,Unknown,0
CUS-100057,58,Can Arslan,40,KADIN,İstanbul,Ön Lisans,Part-time,32229,721,99,2122,0,12 ay,Otomatik Ödeme,2024-07-02,26,hayir,android,0
CUS-101349,1350,Emre Koç,24,Erkek,Antalya,Doktora,Part-time,19495,599,70,1155,0,1 Yıllık,otomatik odeme,2021-04-10,7,0,Tablet,0
CUS-101242,1243,Mehmet Şahin,22,Diğer,Gaziantep,lise,İşsiz,94124,652,82,1631,5,aylik,otomatik odeme,2023-01-28,27,No,Web,0
CUS-100414,415,Ayşe Öz,20,Kadın,Izmir,Lisans,,25319,651,71,2440,2,Aylık,Otomatik Ödeme,2021-08-24,10,Hayır,android,0
CUS-100453,454,Emre Koç,46,erkek,ankara ,lisans ,Self-employed,,659,118,1714,0,aylik,Banka Havalesi,2021-03-26,6,Hayır,web ,0
CUS-100162,163,Derya Kaya,43,KADIN,Konya,Ön Lisans,tam zamanli,77464,772,106,,1,12 ay,Otomatik Ödeme,2024-02-07,3,0,Android,1
CUS-100074,75,Ali Yılmaz,38,kadın,BURSA,Yüksek Lisans,Self-employed,50035,514,5,,3,12 ay,Nakit,2024-11-15,10,1,web ,0
CUS-101579,1580,Derya Çelik,29,,Gaziantep,lise,Part-time,26160,464,13,2364,4,aylik,Nakit,2020-11-11,4,Yes,android,0
CUS-101417,1418,Ayşe Şahin,45,Belirtmek istemiyor,Antalya,,Part-time,88109,584,4,2669,1,12 ay,kredi karti,2025-07-21,5,,android,0
CUS-101365,1366,Ali Öz,45,Erkek,antalya,,Serbest,22623,746,,2425,0,1 Yıllık,kredi karti,2020-11-10,6,hayir,IOS,0
CUS-100154,155,Zeynep Demir,46,KADIN,istanbul,Lise,Yarı Zamanlı,15915,786,114,1059,1,Aylık,Otomatik Ödeme,2022-02-10,,Hayır,android,0
CUS-101747,1748,Emre Demir,63,Belirtmek istemiyor,ISTANBUL,lise,Self-employed,,567,11,1658,0,,otomatik odeme,2025-06-08,3,1,android,0
CUS-101576,1577,Merve Demir,61,Erkek,antalya,Y. Lisans,Öğrenci,77952,554,15,159,45,2 Yıllık,Kredi Kartı,2018-03-14,5,0,IOS,1
CUS-100320,321,Elif Yılmaz,47,Diğer,Adana,,Self-employed,14665,566,88,1977,0,24 AY,Kredi Kartı,2024-11-16,20,0,web ,0
CUS-101695,1696,Zeynep Çelik,35,Kadın,Gaziantep,Lisans,Öğrenci,28565,735,81,2146,1,aylik,Nakit,2022-06-19,7,Hayır,Android,0
CUS-100054,55,Zeynep Kaya,10,Erkek,ISTANBUL,Lise,Tam Zamanlı,36192,624,37,289,0,24 AY,Otomatik Ödeme,2022-02-20,3,No,android,0
CUS-102040,2041,Derya Koç,30,KADIN,Izmir,Bilinmiyor,Serbest,56072,672,93,875,0,12 ay,PayPal,2019-10-27,3,EVET,Web,0
CUS-100330,331,Elif Kurt,35,kadın,ankara ,Yüksek Lisans,Self-employed,61758,559,88,1466,0,Taahhütsüz,Otomatik Ödeme,2025-07-13,8,EVET,Unknown,0
CUS-100052,53,Ayşe Öz,43,Female,Unknown,Ön Lisans,İşsiz,156893,662,93,697,,aylik,PayPal,2020-02-20,14,Yes,Unknown,0
CUS-101041,1042,Emre Şahin,38,Female,Konya,Yüksek Lisans,tam zamanli,69186,631,88,1667,0,aylik,Otomatik Ödeme,2017-02-08,4,No,iOS,0
CUS-100372,373,Ayşe Çelik,31,erkek,Gaziantep,Yüksek Lisans,tam zamanli,16738,635,61,2194,0,24 AY,EFT,2024-07-27,3,EVET,IOS,0
CUS-101881,1882,Mehmet Çelik,44,Erkek,Konya,Y. Lisans,,33959,437,8,1540,2,aylik,EFT,2020-12-26,4,,IOS,0
CUS-100477,478,Elif Şahin,39,KADIN,ISTANBUL,Yüksek Lisans,Self-employed,112558,577,56,555,0,Aylık,EFT,2025-08-22,5,EVET,android,0
CUS-101106,1107,Merve Aydın,28,kadın,Antalya,Y. Lisans,tam zamanli,,543,38,3269,2,2 Yıllık,EFT,2021-02-05,30,No,IOS,0
CUS-101828,1829,Can Kaya,42,Female,Bursa,Yüksek Lisans,Öğrenci,25864,603,25,1424,2,12 ay,EFT,2025-03-19,10,Evet,Tablet,0
CUS-101073,1074,Ayşe Demir,40,Erkek,İzmir,Yüksek Lisans,Tam Zamanlı,49177,592,105,50,0,1 Yıllık,PayPal,2019-11-18,15,hayir,android,0
